alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Pepitas con cáscara,1.0,13.0,70.0,3.5,5.6,1.3,0.9,2.2,0.0,,,0.9,2.2,2.6,2.6,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0
Pepitas de calabaza,0.6,12.0,66.0,3.6,5.5,1.7,1.2,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cdta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepitas de melón,1.0,13.0,69.0,4.3,5.5,1.8,1.8,0.1,0.0,,,0.1,0.0,0.4,0.4,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.0005,0.0766,0.117,0.0,0.0
Pepitas tostadas,1.0,15.0,72.0,2.8,6.7,0.5,0.5,0.0,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,rebanada,0.0,0.0,0.0,0.0,0.0,0.089,0.1063,0.1541,0.0,0.0
Pepperoni,1.0,10.0,64.0,1.2,6.2,0.3,0.7,0.0,0.0,,,1.0,2.3,0.6,0.6,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.0285,0.045,0.274,0.0,0.0
Piñón,1.0,13.0,73.0,2.6,6.3,1.9,0.8,1.8,0.0,,,0.8,3.1,1.9,1.9,grasas,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.0036000000000000003,0.11340000000000001,0.864,0.0,0.0
Pistache,1.0,14.0,62.0,2.0,4.9,2.1,2.5,0.2,0.0,,,0.8,2.7,1.2,1.2,grasas,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.049100000000000005,0.0,0.0,0.0
Queso de nuez de la india,20.0,20.0,75.0,2.3,7.4,9.9,4.1,0.0,0.0,,,4.1,4.0,1.0,1.0,grasas,1.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queso de puerco,17.0,17.0,61.0,1.7,4.8,4.1,1.3,0.2,0.0,,,0.2,0.7,0.5,0.5,grasas,1.0,g,0.0,0.0,0.0,0.0,0.0,0.0246,0.0,0.5644,0.0,0.0
Salsa Bearnesa industrializada,3.0,45.0,66.0,1.7,4.8,3.2,1.3,1.3,0.0,,,2.0,2.0,1.3,1.3,grasas,1.0,cda,0.0,2.48e-05,0.0,0.0,0.0,0.1595,0.0,0.0,0.0,0.0
Salsa Bechamel,3.0,45.0,66.0,1.7,4.8,3.2,1.3,1.3,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cda,0.0,2.48e-05,0.0,0.0,0.0,0.1595,0.0,0.0,0.0,0.0
Salsa blanca,2.0,11.0,63.0,2.3,5.3,2.3,1.5,1.5,0.0,,,0.0,0.0,0.0,0.0,grasas,1.0,cdta,0.0,4.2e-06,0.0,0.0,0.0,0.0772,0.0,0.504,0.0,0.0
